X,Y,name,folders,descriptio,descripci�,gx_media_l,nombre,x,y,icon_url
-68.98627778,18.44480556,PROYECTO VILLA SAN CARLOS,FRANJAS OCUPADAS,"<img src=""https://doc-0k-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/qc2cs4e7jv4e99uvki2o4a2770/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbzofQpwmLD74rFPQ2nSfjUY_zSWItNwrkhzPBX0hz7X6Wa",,,https://doc-0k-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/qc2cs4e7jv4e99uvki2o4a2770/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbzofQpwmLD74rFPQ2nSfjUY_zSWItNwrkhzPBX0hz7X6WaNetiqENR9-,"-68.98627778","18.44480556",./0.png
-71.52419444,18.37336111,"TERRENOS GUANUMA, DUVERGE.",FRANJAS OCUPADAS,"<img src=""https://doc-04-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/paqq1uopg6s88gsdj7ufelnl9o/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYoiHFuS_M1HVvNLTNY_bWdl6qg1TIQo-hpKFB6lrBk2v4r",,,https://doc-04-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/paqq1uopg6s88gsdj7ufelnl9o/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYoiHFuS_M1HVvNLTNY_bWdl6qg1TIQo-hpKFB6lrBk2v4rQHBBVtwaOJ,"-71.52419444","18.37336111",./0.png
-70.16444,18.64094,ECOVILMA VILLA ALTAGRACIA,FRANJAS OCUPADAS,"<img src=""https://doc-0o-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/1joa9u86uefrrjt2n8tfin2o1c/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYzLLh8523XACQ4N8Curg36T3XYBWqzoa6whYYJG-8JI1XP",,,https://doc-0o-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/1joa9u86uefrrjt2n8tfin2o1c/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYzLLh8523XACQ4N8Curg36T3XYBWqzoa6whYYJG-8JI1XPrZh91NoQcS,"-70.16444","18.64094",./0.png
-69.40344444,18.55880556,ALMACEN QUISQUEYA SAN PEDRO,ALMACENES,"<img src=""https://doc-0o-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/k4j53l6up4hjg764bfrhn8kmhk/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYugWrTERUtEGpWlQf3Xvb5CA9lq5nN-u1KvsDrQ-5SLhf6",Almacen de abastecimiento de la zona Este del INVI.,,https://doc-0o-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/k4j53l6up4hjg764bfrhn8kmhk/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYugWrTERUtEGpWlQf3Xvb5CA9lq5nN-u1KvsDrQ-5SLhf66rbgkKuPfm,"-69.40344444","18.55880556",./0.png
-70.72416667,19.47802778,ALMACEN SANTIAGO,ALMACENES,"<img src=""https://doc-14-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/82f52rdpf9a8belq3cdsq4hs08/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYsjJQQMM17dTFQrSlw6FyrNoxbVSPvfXOvpg51PNKexFUC",Almacen de abastecimiento de materiales del INVI,,https://doc-14-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/82f52rdpf9a8belq3cdsq4hs08/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYsjJQQMM17dTFQrSlw6FyrNoxbVSPvfXOvpg51PNKexFUCT8LgMNBJdE,"-70.72416667","19.47802778",./0.png
-70.0471704,18.4833557,ALMACEN HATO NUEVO,ALMACENES,"<img src=""https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/asth1d95s6icjktbs9ulfjr8ao/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbB6MoOCBiE1Kwj0abg28d4jghTdmOx_vRu0Zwz73ZitRM_","Este es el almacen de abastecimiento de materiales, de todo el MIVHED",,https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/asth1d95s6icjktbs9ulfjr8ao/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbB6MoOCBiE1Kwj0abg28d4jghTdmOx_vRu0Zwz73ZitRM_6Yovd8UFXf,"-70.0471704","18.4833557",./0.png
-69.8130926,18.539381,DESTACANENTO VILLA LIBERACION,DESTACAMENTOS MIVHED,"<img src=""https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/cdh5ov7uuqar6m61inbvlmkjvg/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vZms-n51XImhcIgW0Kc2UvoXh1E9rozjqUgeGJsuUj5q-wg",,,https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/cdh5ov7uuqar6m61inbvlmkjvg/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vZms-n51XImhcIgW0Kc2UvoXh1E9rozjqUgeGJsuUj5q-wgpCE-wIlwgM,"-69.8130926","18.539381",./0.png
-70.0559444,18.5421389,HATO NUEVO,PROYECTOS EN DESARROLLO,"<img src=""https://doc-0g-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/qls33b5ert4rje5pkdhr15i08g/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbrBaMLIDAKJQpnvaxoCU1ymF5sxOLW5OfgrOL0R_Mp4SCo",,,https://doc-0g-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/qls33b5ert4rje5pkdhr15i08g/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbrBaMLIDAKJQpnvaxoCU1ymF5sxOLW5OfgrOL0R_Mp4SCoP7qEhvDlPL,"-70.0559444","18.5421389",./0.png
-70.7295811,19.415285,"LA BARRANQUITA, SANTIAGO",PROYECTOS EN DESARROLLO,"<img src=""https://doc-04-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/4nc9va26j2hppr5q0avnj9b18k/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYObwFiCx6bCsf5o8r435hT0kv-ofJbZhAisj2G1EJV-yl3",,,https://doc-04-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/4nc9va26j2hppr5q0avnj9b18k/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vYObwFiCx6bCsf5o8r435hT0kv-ofJbZhAisj2G1EJV-yl3ihpLvaYpN2,"-70.7295811","19.415285",./0.png
-69.94111111,18.57202778,"CIUDAD MODELO JACOBO MAJLUTA, SANTO DOMINGO",PROYECTOS EN DESARROLLO,"<img src=""https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/37vva9lvakh2sob35u6jgle63s/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbTqX9WXA-xtGV52X1HfX3n6JisKwcosOL_hIibO9Uo0m2q",,,https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/37vva9lvakh2sob35u6jgle63s/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbTqX9WXA-xtGV52X1HfX3n6JisKwcosOL_hIibO9Uo0m2q5zKg585U0o,"-69.94111111","18.57202778",./0.png
-70.7155477,19.4547962,LAS ANTILLAS SANTIAGO,PROYECTOS EN DESARROLLO,"<img src=""https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/ouikfsvfvcp6iqi53nt599cq0s/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbtv0IasLEW13xqCb_KKXPPQz6PO2YhEXOt04QPXrjlQMrH",,,https://doc-0c-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/ouikfsvfvcp6iqi53nt599cq0s/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbtv0IasLEW13xqCb_KKXPPQz6PO2YhEXOt04QPXrjlQMrHlM9yc81-Lw,"-70.7155477","19.4547962",./0.png
-69.78966667,18.54094444,SAN LUIS,PROYECTOS EN DESARROLLO,"<img src=""https://doc-0g-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/1j8tecijob0r0qrthf3v8golcs/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vZ7UUmWXmt4Ss581qCLW-fWbwenGzU8N9EMdCPah3C_htL2",,,https://doc-0g-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/1j8tecijob0r0qrthf3v8golcs/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vZ7UUmWXmt4Ss581qCLW-fWbwenGzU8N9EMdCPah3C_htL2h75-j86Cwl,"-69.78966667","18.54094444",./0.png
-71.4406667,19.73475,HOSPITAL MUNICIPAL DE VILLA VASQUEZ,CENTROS DE SALUD,"<img src=""https://doc-0s-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/9cc7c31agdek5o1irb3ljvj6lg/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbmfxiqY2dFGCDrlln3smoEfAi22D7JvY1VIocgFy3dEzTJ",,,https://doc-0s-9s-mymaps.googleusercontent.com/untrusted/hostedimage/n8iup2omsln2bbcql4f65nkp7k/9cc7c31agdek5o1irb3ljvj6lg/1642520769500/YxVS6hvJdcyzigFQtcUxfDRJRPekVVtH/00867828750103162931/5AIsG_vbmfxiqY2dFGCDrlln3smoEfAi22D7JvY1VIocgFy3dEzTJjiJbj4KGfK,"-71.4406667","19.73475",./0.png
